event_id,event_type,timestamp,campaign_id,ad_id,user_id,country,device,cost
73ac8f00-579c-457c-92d0-a8e150dae4dc,impression,2025-08-06 09:15:11.941178,4238,3436,f419c107-2929-4fe4-b354-28583fd39b43,CG,tablet,0.19
5b00ab56-ac1c-49d1-9241-d4ec3a2edf21,click,2025-02-28 06:07:50.108124,4436,8479,f9623104-5435-4821-bba2-85a77f7e0918,DO,tablet,1.17
38ab767d-7d3a-4741-b5c6-bb945a1e92a8,impression,2025-01-11 14:00:13.287327,9801,4408,bdf44934-681b-418f-97b2-3095a1d8f91f,GB,mobile,1.6
8ece9a54-6afd-44df-b14a-336886a23754,conversion,2025-10-11 07:54:42.201621,4364,6585,3c05cff2-7a5f-43c9-b76d-1bc428ba8eee,HN,desktop,1.61
693a07ed-8ddc-4304-b391-139540bf7bb3,conversion,2025-06-27 20:04:27.310320,1289,9952,a76b1564-6985-40fd-bfb1-355c6b17ae24,GA,tablet,0.16
7ea49e43-d8d7-40a4-9743-9a42c9745cae,conversion,2025-08-31 19:19:06.086259,4294,6626,08b72ac0-b102-4083-b09d-dc7b436b6e48,DJ,desktop,0.97
9ce667a3-9219-4882-9031-7d63727e49ac,conversion,2025-03-05 18:02:58.332127,1452,2263,bf2ec557-cad2-4fc2-abf4-12bf0a9ab923,BN,desktop,0.97
0239d98d-95e6-4d78-b65c-e62d2d33893e,click,2025-04-13 01:31:03.385802,4585,2777,4ce460db-e137-4b35-86b0-4e00106d9943,BD,mobile,1.6
c4773edf-c6d3-48ea-9f08-c0419d402017,click,2025-03-18 06:54:49.903922,4253,4694,5240a2a6-84d4-4c21-b35e-eeeb1d62f2ac,MU,desktop,1.22
75b9d760-db22-4388-9b4b-e1ade7a75997,click,2025-03-06 13:18:40.389272,7917,2231,5c5ce4c6-cf14-4c8d-8207-26e051b69912,SO,tablet,0.77
edecc159-1cbe-488e-a740-c1587b875c6c,impression,2025-09-09 06:00:48.144499,1790,7886,bbd6dc38-3f5e-4804-b2a5-baeffdc24954,BY,desktop,0.95
8383d6d0-92b1-463c-8e10-4049f59e632d,conversion,2025-01-12 03:00:23.567728,1855,5883,d2009cca-f99a-40b9-bd07-98587705e731,ME,mobile,0.31
f88d7428-2227-4ec3-8a2c-58d17bbbe7a9,impression,2025-04-25 21:00:03.515056,7452,6266,f8a990b5-cd91-449d-9113-55e1194a5efb,BH,desktop,1.22
14ef9475-d6d5-48f1-900f-81c9fc612ea6,conversion,2025-06-04 18:05:46.381311,4211,4840,fea18a9b-5d4c-497c-a6eb-de85493a28f8,KE,tablet,1.33
6be71b97-1694-49b4-a594-d810f2f38555,conversion,2025-07-08 11:10:24.767908,8689,7699,152db49a-3a77-4c3b-9cf0-709915b7c3de,CI,mobile,1.17
5d13cf19-f3ca-46ea-8672-5f736cf317e0,click,2025-03-07 21:23:09.706784,7458,9685,abf61491-f9dc-4f9b-af53-428cae29a610,JP,tablet,1.98
0e29b24e-e538-4fc2-88a7-458c08b9cd97,click,2025-04-24 14:18:58.358635,7631,2814,b781f8ce-0353-4035-833d-a7e75a16363a,FI,tablet,0.9
5ebe3d4b-270e-41a8-a87d-bee1a2ce6851,conversion,2025-04-01 12:33:44.699191,6019,2896,8bef9a30-b4f9-4146-90c9-755927d7ea4d,LY,mobile,0.23
b474814a-3590-46e2-bcb3-4fed4dc07496,conversion,2025-07-22 06:32:22.181324,5882,9320,8b7f8a32-d142-4529-97f8-dd29a54ecbf1,GR,desktop,1.37
4d2f4eb0-f61f-4436-99d8-7cc5d70650f6,click,2025-05-11 00:27:45.048852,1023,5516,9a567c13-1071-41df-b58f-c0216d0d4637,JM,mobile,1.7
ddcd6f55-b35d-4383-a696-c5e3b2a968a5,click,2025-08-18 06:36:36.454785,3419,3708,a8e0fd68-8cc6-43a2-9883-140da08c623f,GB,tablet,1.55
7fd2294d-f0e7-476c-80de-75016f19d764,conversion,2025-04-10 03:57:08.223661,2367,7149,3678260d-113f-49a5-be57-e0a7065f4425,RU,tablet,1.76
61d0b89a-7cb4-480e-b5eb-1b8a44156b4e,click,2025-06-10 17:20:06.147846,5475,3097,ebefd2a6-eac0-414c-aa7f-92b7a9b93dbe,PW,tablet,0.97
4f8428d6-63d8-475c-ae1d-525086017956,conversion,2025-08-01 10:49:46.168179,5720,8266,6437db4e-9655-4f42-b4ce-2515df202b05,IE,desktop,1.72
35d1ba3a-a891-4421-892f-64379cdbe5f7,conversion,2025-01-16 11:56:36.656884,8880,4947,8efd8036-19e1-41b2-b0de-57e12f7bf8e8,TZ,desktop,0.31
7cc5a84f-7356-4e6f-a646-b23835356fb2,impression,2025-07-30 20:35:22.216311,6292,6966,c7d1be32-0e1c-41e4-8dca-2659d51e9bed,CY,desktop,0.34
70893471-82f5-4d14-b29f-1ddaa84d7824,impression,2025-02-05 01:20:20.668519,4721,1250,00154fc8-e17f-4683-b3fe-b6825b193224,WS,tablet,1.48
38d48f8b-0f51-47c2-8d97-c910dd14de30,impression,2025-04-02 12:40:00.454914,1082,6903,2c97a66b-ada3-4a20-b729-68c7827e9bf9,DM,desktop,1.91
229f05b5-122f-47da-8fe7-9467c1b76caf,click,2025-05-06 10:05:53.906352,2386,4403,26aa3d59-bf58-44c2-a5a5-472071567692,LS,mobile,1.92
d6b4763a-70fc-4cf9-a3e8-7678e256d666,impression,2025-02-21 17:17:17.891105,9154,1786,c9477cdd-3d43-4079-9ba7-dbf296139281,BZ,tablet,0.93
fe4de510-d5bd-423a-836e-9c5c15da7ac3,click,2025-04-22 03:00:55.467336,1807,9124,82cf4ec7-81d8-4285-86e8-319d348118c4,BB,desktop,0.18
11d1f070-b77e-453b-9a90-996727f6fb96,impression,2025-06-19 09:31:26.891792,6723,8142,adb2894a-70de-4cf6-a29d-116f739303fd,PL,mobile,1.85
e7b971ad-8a4e-449e-a676-b3463fe2818d,impression,2025-05-20 20:15:42.210005,5042,4489,5a0ae54b-02aa-476e-9e57-c3e87c35c3e9,UY,desktop,0.58
